"Main Category","Category","Terms"
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the actin family. {ECO:0000256|ARBA:ARBA00006752, ECO:0000256|RuleBase:RU000487}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the actin family. {ECO:0000256|ARBA:ARBA00006752}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the actin family. {ECO:0000256|RuleBase:RU000487}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the actin family. {ECO:0000305}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:29925947}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}."
"General Annotations","UP_COMMENT_SUBUNIT","Polymerization of globular actin (G-actin) leads to a structural filament (F-actin) in the form of a two-stranded helix (PubMed:16685646, PubMed:28604741). Each actin can bind to 4 others (PubMed:16685646, PubMed:28604741). Identified in a IGF2BP1-dependent mRNP granule complex containing untranslated mRNAs (PubMed:17289661). Component of the BAF complex, which includes at least actin (ACTB), ARID1A, ARID1B/BAF250, SMARCA2, SMARCA4/BRG1, ACTL6A/BAF53, ACTL6B/BAF53B, SMARCE1/BAF57 SMARCC1/BAF155, SMARCC2/BAF170, SMARCB1/SNF5/INI1, and one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C (PubMed:18765789). In muscle cells, the BAF complex also contains DPF3 (PubMed:18765789). Found in a complex with XPO6, Ran, ACTB and PFN1 (PubMed:14592989). Interacts with PFN1 (PubMed:10411937, PubMed:25255767). Interacts with XPO6 and EMD (PubMed:15328537). Interacts with ERBB2 (PubMed:21555369). Interacts with GCSAM (PubMed:17823310). Interacts with TBC1D21 (By similarity). Interacts with CPNE1 (via VWFA domain) and CPNE4 (via VWFA domain) (By similarity). Interacts with DHX9 (via C-terminus); this interaction is direct and mediates the attachment to nuclear ribonucleoprotein complexes (PubMed:11687588). Interacts with FAM107A (PubMed:21969592, PubMed:28604741). Associates with the gamma-tubulin ring complex (gTuRC) consisting of TUBGCP2, TUBGCP3, TUBGCP4, TUBGCP5 and TUBGCP6 and gamma-tubulin TUBG1 or TUBG2; within the complex, interacts with TUBGCP3 and TUBGCP6 to form a luminal bridge with MZT1 that stabilizes the initial structure during complex assembly (PubMed:39321809, PubMed:38609661). Part of the ACTR1A/ACTB filament around which the dynactin complex is built (By similarity). The filament contains 8 copies of ACTR1A and 1 ACTB (By similarity). Interacts with TPRN which forms ring-like structures in the stereocilium taper region; the interaction may stabilize stereocilia in inner ear hair cells (By similarity). Interacts with AMOTL2 (via N-terminus), the interaction facilitates binding of cell junction complexes to actin fibers in endothelial cells (By similarity). {ECO:0000250|UniProtKB:O18840, ECO:0000250|UniProtKB:P60710, ECO:0000250|UniProtKB:Q6QAQ1, ECO:0000269|PubMed:10411937, ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:14592989, ECO:0000269|PubMed:15328537, ECO:0000269|PubMed:16685646, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:17823310, ECO:0000269|PubMed:18765789, ECO:0000269|PubMed:21555369, ECO:0000269|PubMed:21969592, ECO:0000269|PubMed:25255767, ECO:0000269|PubMed:28604741, ECO:0000269|PubMed:38609661, ECO:0000269|PubMed:39321809}."
"Identifiers","ENTREZ_GENE_ID","60"
"Identifiers","ENSEMBL_GENE_ID","ENSG00000075624"
"Identifiers","UNIPROT_ID","Q9UMN3_HUMAN"
"Identifiers","UNIPROT_ID","Q53G76_HUMAN"
"Identifiers","UNIPROT_ID","Q53G99_HUMAN"
"Identifiers","UNIPROT_ID","Q53GK6_HUMAN"
"Identifiers","UNIPROT_ID","Q1KLZ0_HUMAN"
"Identifiers","UNIPROT_ID","G8FSY7_HUMAN"
"Identifiers","UNIPROT_ID","G5E9R0_HUMAN"
"Identifiers","UNIPROT_ID","E7EVS6_HUMAN"
"Identifiers","UNIPROT_ID","C9JZR7_HUMAN"
"Identifiers","UNIPROT_ID","C9JTX5_HUMAN"
"Identifiers","UNIPROT_ID","C9JUM1_HUMAN"
"Identifiers","UNIPROT_ID","ACTB_HUMAN"
"Identifiers","UNIPROT_ID","A0AUL6_HUMAN"
"Identifiers","UNIPROT_ID","A0A6Q8PH58_HUMAN"
"Identifiers","UNIPROT_ID","A0A6Q8PFE4_HUMAN"
"Identifiers","UNIPROT_ID","A0A6Q8PGD7_HUMAN"
"Identifiers","UNIPROT_ID","A0A510GJR4_HUMAN"
"Identifiers","UNIPROT_ID","A0A2R8YGF8_HUMAN"
"Identifiers","UNIPROT_ID","A0A2R8YFE2_HUMAN"
"Identifiers","UNIPROT_ID","A0A2R8Y793_HUMAN"
"Identifiers","UNIPROT_ID","A0A2R8YEA7_HUMAN"
"Interactions","DRUGBANK","Quercetin"
"Interactions","DRUGBANK","Phenethyl Isothiocyanate"
"Interactions","UP_KW_LIGAND","ATP-binding"
"Interactions","UP_KW_LIGAND","Nucleotide-binding"
"Literature","GENERIF_SUMMARY","region responsible for down-regulation of the gamma-actin gene during differentiation is not in the 3' end of the gene in contrast to that for beta-actin."
"Literature","GENERIF_SUMMARY","human fibroblast cells infected by Cytomegalovirus could express immediate early mRNA and the expression of beta-actin mRNA decreased in a time- and titer-dependent manner"
"Literature","GENERIF_SUMMARY","GLI oncogene is activated through fusion with the beta-actin gene (ACTB) in a group of distinctive pericytic neoplasms"
"Literature","GENERIF_SUMMARY","characterization of the breakpoints of the ACTB-GLI and GLI-ACTB fusions at the genomic level in pericytoma with t(7;12)"
"Literature","GENERIF_SUMMARY","beta-actin localizes to an active U6 promoter in RNA polymerase III (pol III) and is essential for basal pol III transcription."
"Literature","GENERIF_SUMMARY","Data lead to the conclusion that there is a distinct correlation between metastatic capacity of examined human colon adenocarcinoma cells, the state of actin polymerization, actin cytoskeleton organization and beta-actin expression."
"Literature","GENERIF_SUMMARY","both monomeric and oligomeric or polymeric forms of actin are at play and raising the possibility that the equilibrium between them, perhaps differentially regulated at various intranuclear sites, may be a major determinant of nuclear function."
"Literature","GENERIF_SUMMARY","beta-actin is a transcription factor stimulates eNOS expression; and the transcriptional effect appears to be 27nt-dependent"
"Literature","GENERIF_SUMMARY","Actin could contribute to the initiation of apoptosis by enabling cytosolic pro-apoptotic proteins to be carried to mitochondria by the cytoskeleton-driven trafficking system."
"Literature","GENERIF_SUMMARY","These findings suggest that mutations in beta actin may be associated with a broad spectrum of developmental malformations and/or neurological abnormalities such as dystonia."
"Literature","GENERIF_SUMMARY","The results from this controlled CCT-actin folding assay are consistent with a model where CCT and Ac(I) are in a binding pre-equilibrium with a rate-limiting binding step, followed by a faster ATP-driven processing to native actin."
"Literature","GENERIF_SUMMARY","These data establish that the posttranscriptional event involving HuR-mediated beta-actin mRNA stabilization could be a part of the regulatory mechanisms responsible for maintaining cell integrity."
"Literature","GENERIF_SUMMARY","Beta-actin can be directly tyrosine-phosphorylated by Src in vitro, and in a Src-dependent manner in cells. Moreover, beta-actin dynamics are suppressed when Src is rendered kinase-inactive."
"Literature","GENERIF_SUMMARY","The specific and directed rearrangement of the beta-actin structure, seen in the natural beta-actin-TRiC system, is vital for guiding beta-actin to the native state."
"Literature","GENERIF_SUMMARY","We observed the nuclear translocation of the transcription factor Nrf2 associated with thinning of the actin stress fibers."
"Literature","GENERIF_SUMMARY","There was no significant difference in IL-4/beta-actin between the patients with AIH and the healthy controls. In contrast there was a significant difference of IFN-gamma/beta-actin between those two groups."
"Literature","GENERIF_SUMMARY","Results show overexpression or depletion of RHA could influence the interaction of Pol II with beta-actin and beta-actin-involved gene transcription regulation."
"Literature","GENERIF_SUMMARY","CTCF colocalizes with NELF on the U2 and beta-actin genes, raising the possibility that it helps the positioning and/or function of the NELF-dependent control point on these genes."
"Literature","GENERIF_SUMMARY","MARCKS regulates lamellipodia formation induced by IGF-I via association with PIP2 and beta-actin at membrane microdomains."
"Literature","GENERIF_SUMMARY","Data show that inducible Hox genes are selectively sensitive to the inhibition of actin polymerization and that actin polymerization is required for the assembly of a transcription complex on the regulatory region of the Hox genes."
"Literature","GENERIF_SUMMARY","These results reveal new aspects of beta- and gamma-actin organization that support their functional diversity."
"Literature","GENERIF_SUMMARY","Results suggest a novel mechanism by which cofilin is regulated by v-Src through tyrosine phosphorylation that triggers the degradation of cofilin through ubiquitination-proteosome pathway and reducing cellular F-actin contents and cell spreading."
"Literature","GENERIF_SUMMARY","Immunoblot analysis revealed profoundly decreased beta-actin levels during Ectromelia virus infection replicative cycle in the infected cells 24 hrs post infection."
"Literature","GENERIF_SUMMARY","The actin network plays a role in nuclear ERalpha actions in breast cancer cells."
