"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.21401212941015e-23,1.47182270886661,0.294,0.11,5.77909623427308e-19,"2","OPTN"
2.64914256226734e-20,1.59931294522873,0.305,0.136,3.63303410989343e-16,"2","CORO1B"
1.06440779837399e-19,1.45465098228769,0.277,0.114,1.45972885469009e-15,"2","SUSD3"
0,6.91122123585034,0.936,0.041,0,"3","CD79A"
0,5.71851982869506,0.855,0.053,0,"3","MS4A1"
2.39762509409901e-272,7.37975668388705,0.564,0.009,3.28810305404738e-268,"3","LINC00926"
9.48178348771665e-271,6.68805138725732,0.622,0.022,1.30033178750546e-266,"3","TCL1A"
2.74501570039047e-237,7.13505065864305,0.488,0.007,3.76451453151549e-233,"3","VPREB3"
2.42006606061893e-170,6.36063050159685,0.381,0.009,3.3188785955328e-166,"3","FCER2"
4.00716484177643e-138,6.05770194126722,0.311,0.007,5.49542586401219e-134,"3","TSPAN13"
7.08341124993792e-135,6.72078965680431,0.297,0.006,9.71419018816486e-131,"3","FCRLA"
7.43733395087488e-116,5.52361140199933,0.276,0.008,1.01995597802298e-111,"3","PKIG"
1.14716305419278e-114,5.48400188718993,0.288,0.011,1.57321941251998e-110,"3","HLA-DOB"
5.61185541088886e-202,3.32613522613387,0.983,0.234,7.69609851049299e-198,"4","CCL5"
3.16067609359065e-181,2.45966452715542,0.966,0.216,4.33455119475022e-177,"4","NKG7"
7.64714952692804e-176,2.62103624855127,0.818,0.121,1.04873008612291e-171,"4","GZMA"
4.89229359557422e-171,2.62644424034168,0.797,0.122,6.70929143697049e-167,"4","CST7"
7.25488509276528e-165,4.40753994060933,0.577,0.055,9.9493494162183e-161,"4","GZMK"
2.65172979432793e-103,3.34753421239591,0.491,0.072,3.63658223994133e-99,"4","CD8A"
1.02166631404882e-100,3.02263153284339,0.478,0.07,1.40111318308656e-96,"4","KLRG1"
3.26938908406903e-88,3.73640097095732,0.419,0.061,4.48364018989227e-84,"4","GZMH"
3.34568662251905e-41,2.1985473633436,0.371,0.097,4.58827463412263e-37,"4","CD8B"
4.10901414090318e-31,2.69019224518345,0.275,0.072,5.63510199283462e-27,"4","NCR3"
1.68906387587161e-212,5.42881184073875,0.506,0.01,2.31638219937032e-208,"5","CDKN1C"
1.51641217514213e-207,4.99319999938728,0.586,0.02,2.07960765698992e-203,"5","HES4"
8.42937573617358e-200,4.06379393395137,0.84,0.068,1.15600458845884e-195,"5","RP11-290F20.3"
1.71032103767114e-186,4.38784960040904,0.809,0.073,2.3455342710622e-182,"5","MS4A7"
3.51119239356996e-184,4.06490197289953,0.975,0.134,4.81524924854185e-180,"5","FCGR3A"
8.2306060704582e-168,5.88121184935212,0.37,0.005,1.12874531650264e-163,"5","CKB"
8.89240060699569e-147,4.23242719757342,0.537,0.031,1.21950381924339e-142,"5","LILRA3"
6.45997240983476e-140,5.15986571264743,0.383,0.011,8.85920616284739e-136,"5","MS4A4A"
