Geneid,SRR1313066,SRR1313067,SRR1313068,SRR1313078,SRR1313090,SRR1313091,SRR1313092,SRR1313094,SRR1313096,SRR1313099,SRR1313101,SRR1313111,SRR1313112,SRR1313113,SRR1313115,SRR1313118,SRR1313120,SRR1313123,SRR1313127,SRR1313128
MIR3156-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP2,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,1
VN1R8P,0,0,0,2,0,1,0,3,1,0,0,0,1,1,0,0,5,1,0,0
LINC01674,0,0,0,3,0,0,0,1,3,1,1,0,2,3,1,0,27,5,0,0
SNX19P1,1,6,4,2,3,1,2,1,3,5,5,4,10,31,4,3,33,7,4,0
OR4K11P,0,0,0,0,0,0,0,9,0,0,1,0,3,3,0,0,4,1,0,0
OR4K12P,0,0,0,1,5,2,0,17,4,11,4,0,3,15,1,0,7,8,0,0
POTED,2,0,1,2,2,3,0,12,42,158,6,0,5,12,6,1,9,20,0,0
RNU6-286P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIR3118-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278381,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
GRAMD4P1,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,4,0,0
CXADRP1,0,0,0,0,0,1,0,17,0,6,1,0,13,17,5,0,0,5,0,0
ENSG00000279773,0,0,1,0,0,0,0,1,0,0,4,0,3,1,1,0,3,4,1,0
LONRF2P5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MIR8069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEM1AP1,0,0,0,0,1,0,0,0,2,2,1,0,0,21,0,0,1,0,0,0
ENSG00000224922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TERF1P1,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,1
FAM207CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
GXYLT1P2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CNN2P7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
ZNF114P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4F29P,0,47,71,133,41,147,13,279,193,164,77,44,316,493,62,21,97,555,18,3
SNX18P13,0,8,5,0,1,3,0,28,20,14,14,3,39,25,12,0,9,30,2,0
ENSG00000290581,0,25,13,48,100,217,28,467,1598,353,129,128,299,303,514,33,238,465,38,13
ANKRD20A11P,1,57,131,480,125,638,45,1297,2994,889,257,138,870,1178,1006,91,610,1886,89,37
RHOT1P2,1,38,63,171,122,428,26,931,2170,727,206,118,636,567,718,61,518,1013,53,11
RNU6-954P,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NF1P3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PPP6R2P1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,2,0,1,0
FRG2MP,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
ENSG00000224905,4,2,10,69,31,56,29,73,157,77,40,44,36,92,98,13,144,96,109,213
ANKRD20A18P,1,5,1,14,2,8,2,1,18,6,3,5,1,3,10,1,7,24,45,24
RNA5SP488,0,0,0,5,13,6,4,2,14,10,21,14,5,4,10,2,13,9,3,7
ENSG00000277572,1,0,0,14,4,26,3,10,147,25,6,10,1,19,73,3,66,11,47,134
LIPI,2,0,6,7,3,5,2,2,10,6,9,7,3,4,1,0,3,9,3,0
ERLEC1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
