Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1313205,2014-06-12 16:16:14,2014-06-02 13:38:32,72339690,7233969000,72339690,100,4750,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313205/SRR1313205.sralite.1,SRX559856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624400,SAMN02821048,simple,9606,Homo sapiens,GSM1401791,,,,,,,no,,,,,GEO,SRA168404,,public,7773177E2D43FFCFF53812B2D01F0EC8,4004DCD1C1B5B1A94C6D6CEBD8349535
SRR1313206,2014-06-12 16:16:14,2014-06-02 15:02:32,80855321,8085532100,80855321,100,5339,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313206/SRR1313206.sralite.1,SRX559857,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624403,SAMN02821065,simple,9606,Homo sapiens,GSM1401792,,,,,,,no,,,,,GEO,SRA168404,,public,BD1B88CD6488D8E5906EF6F7D880589B,C34B78933BDD08E165B7D098158AB1F9
SRR1313207,2014-06-12 16:16:14,2014-06-02 13:39:07,73169471,7316947100,73169471,100,4814,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313207/SRR1313207.sralite.1,SRX559858,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624401,SAMN02820998,simple,9606,Homo sapiens,GSM1401793,,,,,,,no,,,,,GEO,SRA168404,,public,07FEFF9FD772D6DB7F589C7A582F5D16,7B61696D17B7A8B328CDC98C56415C9E
SRR1313208,2014-06-12 16:16:14,2014-06-02 13:38:46,77100510,7710051000,77100510,100,5053,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313208/SRR1313208.sralite.1,SRX559859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624402,SAMN02821019,simple,9606,Homo sapiens,GSM1401794,,,,,,,no,,,,,GEO,SRA168404,,public,BF3B693C281BD4270CFCF400F343377F,691A2E9B7A7287010C6E7602CBF241AC
SRR1313209,2014-06-12 16:16:14,2014-06-02 14:28:22,90927537,9092753700,90927537,100,6039,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313209/SRR1313209.sralite.1,SRX559860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624405,SAMN02821005,simple,9606,Homo sapiens,GSM1401795,,,,,,,no,,,,,GEO,SRA168404,,public,31F90C0EFB261E8A53057FC12B3D8CE8,EB3992C7ED2AC0EB3BD6F2E8B5B80427
SRR1313200,2014-06-12 16:16:14,2014-06-02 13:38:57,48661869,4866186900,48661869,100,3116,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313200/SRR1313200.sralite.1,SRX559851,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624395,SAMN02821051,simple,9606,Homo sapiens,GSM1401786,,,,,,,no,,,,,GEO,SRA168404,,public,1125BD596ED136700B2756B128EA6361,5D4C88C4E9A219F7184CC0777C2421CF
SRR1313201,2014-06-12 16:16:14,2014-06-02 13:40:57,55824823,5582482300,55824823,100,3582,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313201/SRR1313201.sralite.1,SRX559852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624396,SAMN02821056,simple,9606,Homo sapiens,GSM1401787,,,,,,,no,,,,,GEO,SRA168404,,public,7D56137C15EA1FC40C9DF5F7E04C4CAA,E138A048C58E842B4DD64BECEC9C98AC
SRR1313202,2014-06-12 16:16:14,2014-06-02 13:42:12,96308993,9630899300,96308993,100,6208,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313202/SRR1313202.sralite.1,SRX559853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624397,SAMN02821047,simple,9606,Homo sapiens,GSM1401788,,,,,,,no,,,,,GEO,SRA168404,,public,2DA7F5D6A946F6245E226F9CE323590A,74D41AC7C2005790BE22E89CB06F24E2
SRR1313203,2014-06-12 16:16:14,2014-06-02 13:45:55,75771534,7577153400,75771534,100,5239,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313203/SRR1313203.sralite.1,SRX559854,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624398,SAMN02821057,simple,9606,Homo sapiens,GSM1401789,,,,,,,no,,,,,GEO,SRA168404,,public,3E216E4148895353DA12A447BD3CDEB0,F5F503D5676E264C7F16C1A0A69EA3AC
SRR1313204,2014-06-12 16:16:14,2014-06-02 13:38:32,74669030,7466903000,74669030,100,4904,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313204/SRR1313204.sralite.1,SRX559855,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624399,SAMN02821058,simple,9606,Homo sapiens,GSM1401790,,,,,,,no,,,,,GEO,SRA168404,,public,ABBCFDD66C6516AEAE86382C88762FBF,569F35EFE11F21539E9E41C781B448FB
SRR1313195,2014-06-12 16:16:14,2014-06-02 13:17:58,68331492,6833149200,68331492,100,4677,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313195/SRR1313195.sralite.1,SRX559846,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624390,SAMN02821055,simple,9606,Homo sapiens,GSM1401781,,,,,,,no,,,,,GEO,SRA168404,,public,51CD064A85D69C4227634AEF03E9D98E,EB0BC420ECD4A35EE8E8D0CB035D035C
SRR1313196,2014-06-12 16:16:14,2014-06-02 13:21:10,68132284,6813228400,68132284,100,4594,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313196/SRR1313196.sralite.1,SRX559847,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624391,SAMN02821045,simple,9606,Homo sapiens,GSM1401782,,,,,,,no,,,,,GEO,SRA168404,,public,E46F87591EC5AAB9972EA4EDDF897245,AA937628BB25EFA8AE31E7DC124C8008
