"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-73929","Base-Excision Repair, AP Site Formation","11/177","62/11230",0.17741935483871,11.2566065245125,10.2477595363702,2.76511925381181e-09,2.66302254290184e-08,1.97476532944293e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-1474165","Reproduction","16/177","156/11230",0.102564102564103,6.50731565985803,8.76530632338502,2.86601178951717e-09,2.71836875793599e-08,2.01580733521064e-08,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9670095","Inhibition of DNA recombination at telomere","11/177","67/11230",0.164179104477612,10.4165612614892,9.78264658594144,6.53009848524555e-09,6.10125619666226e-08,4.52438873840265e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-2559583","Cellular Senescence","17/177","189/11230",0.0899470899470899,5.70681254297073,8.25792032496888,6.7558341264823e-09,6.21934141643812e-08,4.61195487581841e-08,"H3C8/H2BC7/CBX2/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-5693571","Nonhomologous End-Joining (NHEJ)","11/177","68/11230",0.161764705882353,10.2633765370555,9.69549203530822,7.6847480716142e-09,6.97195984468187e-08,5.17005934337431e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-3247509","Chromatin modifying enzymes","20/177","271/11230",0.0738007380073801,4.68238580690892,7.76507328823383,9.18183137149257e-09,8.21118062650621e-08,6.0890039621477e-08,"H3C8/H2BC7/PADI3/H2AC16/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/H3C1/H2AC15",20
"R-HSA-8939211","ESR-mediated signaling","18/177","222/11230",0.0810810810810811,5.14429683921209,7.89205713104755,1.23332541124406e-08,1.08741085554758e-07,8.06369913059496e-08,"H3C8/EREG/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",18
"R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","11/177","72/11230",0.152777777777778,9.69318895166353,9.36416975705471,1.43453610212016e-08,1.24724944434336e-07,9.24898276366944e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","11/177","73/11230",0.150684931506849,9.56040554136677,9.28536846164415,1.66616993973026e-08,1.39954677529424e-07,1.03783441719314e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-774815","Nucleosome assembly","11/177","73/11230",0.150684931506849,9.56040554136677,9.28536846164415,1.66616993973026e-08,1.39954677529424e-07,1.03783441719314e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-9764265","Regulation of CDH1 Expression and Function","17/177","201/11230",0.0845771144278607,5.36610731652472,7.90390034091276,1.70914660512783e-08,1.39954677529424e-07,1.03783441719314e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/ACTC1/H2BC14/H3C1",17
"R-HSA-9764274","Regulation of Expression and Function of Type I Classical Cadherins","17/177","201/11230",0.0845771144278607,5.36610731652472,7.90390034091276,1.70914660512783e-08,1.39954677529424e-07,1.03783441719314e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/ACTC1/H2BC14/H3C1",17
"R-HSA-9839923","Dengue Virus Infection","24/177","401/11230",0.0598503740648379,3.79728644490469,7.21825199192868,1.7214872475664e-08,1.39954677529424e-07,1.03783441719314e-07,"H3C8/H2BC7/H2AC16/F2/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/HYOU1/H3C6/VTN/GPC2/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/KPNA7/H3C1/H2AC15",24
"R-HSA-157118","Signaling by NOTCH","18/177","228/11230",0.0789473684210526,5.00892060660125,7.73884498986238,1.87205401880264e-08,1.50244335355186e-07,1.11413741199995e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/FCER2/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/CNTN1/H3C1",18
"R-HSA-157579","Telomere Maintenance","13/177","112/11230",0.116071428571429,7.36430589184827,8.56571875635239,2.08403529005275e-08,1.65140011591522e-07,1.22459635298236e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/PIF1/H2BC10/H4C9/H2BC9/H2BC14/TEN1",13
"R-HSA-4839726","Chromatin organization","20/177","286/11230",0.0699300699300699,4.43680613172139,7.45018570125703,2.28579009172392e-08,1.78863074677396e-07,1.32635977690822e-07,"H3C8/H2BC7/PADI3/H2AC16/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/H3C1/H2AC15",20
"R-HSA-1221632","Meiotic synapsis","11/177","77/11230",0.142857142857143,9.0637610976594,8.98471391510708,2.96242248274804e-08,2.26155667585399e-07,1.67705817059292e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-5693565","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","11/177","77/11230",0.142857142857143,9.0637610976594,8.98471391510708,2.96242248274804e-08,2.26155667585399e-07,1.67705817059292e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-69306","DNA Replication","16/177","184/11230",0.0869565217391304,5.51707197248833,7.8177268388389,3.10699416999242e-08,2.34334741013886e-07,1.73771011917141e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-69473","G2/M DNA damage checkpoint","12/177","96/11230",0.125,7.93079096045198,8.62998214956029,3.19997010443906e-08,2.38473962545101e-07,1.76840453140053e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/BRIP1/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",12
