"User Ids","Gene Name","Category","Terms"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Chronic renal failure|Kidney Failure, Chronic"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Leukemia, Lymphocytic, Chronic, B-Cell"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Neovascularization, Pathologic"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Leukemia, Myeloid, Acute"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Lymphatic Metastasis|Stomach Neoplasms"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","cervical cancer"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","colorectal cancer"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","esophageal adenocarcinoma"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","longevity"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","lung cancer"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","ovarian cancer"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","pancreatic neoplasm|Pancreatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Adenocarcinoma|Pancreatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Adenoma, Pleomorphic|Salivary Gland Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Brain Neoplasms|Glioblastoma"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Brain Neoplasms|Glioma"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms, Male"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Breast Neoplasms, Male|Mammary Neoplasms|Neoplasms, Prostatic|ovarian neoplasm|Ovarian Neoplasms|Prostatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Breast Neoplasms, Male|Mammary Neoplasms|Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Breast Neoplasms, Male|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Carcinoma, Ductal, Breast"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Carcinoma, Ductal, Breast|Neoplasm Invasiveness"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Carcinoma, Intraductal, Noninfiltrating|Carcinoma, Lobular|Mammary Neoplasms|Noninfiltrating Intraductal Carcinoma|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Carcinoma, Intraductal, Noninfiltrating|Mammary Neoplasms|Noninfiltrating Intraductal Carcinoma"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Carcinoma|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Carcinoma|Melanoma|Neoplastic Syndromes, Hereditary|Ovarian Neoplasms|Pancreatic Neoplasms|Prostatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Cell Transformation, Neoplastic|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Chromosome Breakage|DNA Damage|Mammary Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Chromosome Breakage|Mammary Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Colonic Neoplasms|Lymphoma|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Colonic Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|DNA Damage|Mammary Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|DNA Damage|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Fallopian Tube Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms|Peritoneal Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Lymphatic Metastasis|Mammary Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Lymphoma|Mammary Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|Menopause, Premature"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|Neoplasms, Multiple Primary|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|Neoplasms, Prostatic|ovarian neoplasm|Ovarian Neoplasms|Prostatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|melanoma|ovarian neoplasm|Ovarian Neoplasms|Uveal Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Melanoma|Skin Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Neoplasms, Multiple Primary|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Neoplastic Syndromes, Hereditary|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Breast Neoplasms|Ovarian Neoplasms|Pancreatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Carcinoma in Situ|Carcinoma, Ductal, Breast|Invasive Ductal Breast Carcinoma|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Carcinoma, Basal Cell|melanoma|Skin Basal Cell Carcinoma|Skin Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Carcinoma|Fallopian Tube Neoplasms|ovarian neoplasm|Ovarian Neoplasms|Peritoneal Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Carcinoma|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Chromosome Aberrations|Chromosome abnormality"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Chronic renal failure|Kidney Failure, Chronic"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Colorectal Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Cystadenocarcinoma, Serous|Fallopian Tube Neoplasms|Precancerous Conditions"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","DNA Damage"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Endometrial Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Fallopian Tube Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Fallopian Tube Neoplasms|Neoplasm Invasiveness|Peritoneal Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Fallopian Tube Neoplasms|Precancerous Conditions"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Fallopian Tube Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Hodgkin Disease|Neoplasms, Second Primary"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Leukemia, Myeloid, Acute|Leukemias, Acute Myeloblastic"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Lymphoma, Follicular|Lymphoma, Large B-Cell, Diffuse"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Meningomyelocele|Spinal Dysraphism"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Narcolepsy"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Neoplasm Invasiveness|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Neoplasm Recurrence, Local|ovarian neoplasm|Ovarian Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Ovarian Diseases"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Pancreatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Prostatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Stomach Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","Tobacco Use Disorder"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","benzene haematotoxicity"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","benzene toxicity"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","bladder cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer ovarian cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer, familial"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer, male"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer; ovarian cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast cancer|ovarian cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","breast-conserving treatment"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","cervical cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","cervical intraepithelial neoplasia grade 3"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","chemotherapy-related toxicity"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","chronic obstructive pulmonary disease"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","colorectal cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","coronary spastic angina"
