"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","negative regulation of glial cell proliferation","2","53","11","18975","2.97e-2","2.77e-1","65.09","1.00e+0","2.62e-1","4.14e-4","RB1,TP53"
"GOTERM_BP_DIRECT","neuron apoptotic process","3","53","99","18975","3.02e-2","2.78e-1","10.85","1.00e+0","2.64e-1","2.67e-3","RB1,GAPDH,TP53"
"GOTERM_BP_DIRECT","regulation of chromosome segregation","2","53","12","18975","3.24e-2","2.94e-1","59.67","1.00e+0","2.79e-1","4.96e-4","KIF2C,BUB1"
"GOTERM_BP_DIRECT","cellular response to insulin stimulus","3","53","103","18975","3.25e-2","2.94e-1","10.43","1.00e+0","2.79e-1","2.99e-3","RB1,PIK3CA,AKT1"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","5","53","448","18975","3.41e-2","3.04e-1","4.00","1.00e+0","2.88e-1","8.12e-3","RB1,PTEN,GATA3,TOB2,TP53"
"GOTERM_BP_DIRECT","cellular response to tumor necrosis factor","3","53","106","18975","3.42e-2","3.04e-1","10.13","1.00e+0","2.88e-1","3.24e-3","AKT1,BRCA1,GATA3"
"GOTERM_BP_DIRECT","in utero embryonic development","4","53","260","18975","3.44e-2","3.04e-1","5.51","1.00e+0","2.88e-1","5.96e-3","CCNB2,CCNB1,GATA3,TP53"
"GOTERM_BP_DIRECT","response to growth factor","2","53","13","18975","3.51e-2","3.05e-1","55.08","1.00e+0","2.89e-1","5.85e-4","MYC,AKT1"
"GOTERM_BP_DIRECT","regulation of microtubule-based process","2","53","13","18975","3.51e-2","3.05e-1","55.08","1.00e+0","2.89e-1","5.85e-4","ERBB2,AURKA"
"GOTERM_BP_DIRECT","chromatin organization","5","53","457","18975","3.63e-2","3.13e-1","3.92","1.00e+0","2.97e-1","8.81e-3","FOXA1,TOP2A,RB1,PCNA,EZH2"
"GOTERM_BP_DIRECT","transcription by RNA polymerase II","4","53","268","18975","3.71e-2","3.16e-1","5.34","1.00e+0","3.00e-1","6.62e-3","RB1,MYC,GATA3,ESR1"
"GOTERM_BP_DIRECT","translesion synthesis","2","53","14","18975","3.77e-2","3.16e-1","51.15","1.00e+0","3.00e-1","6.82e-4","PCNA,DTL"
"GOTERM_BP_DIRECT","negative regulation of macroautophagy","2","53","14","18975","3.77e-2","3.16e-1","51.15","1.00e+0","3.00e-1","6.82e-4","PIK3CA,AKT1"
"GOTERM_BP_DIRECT","DNA recombination","3","53","112","18975","3.78e-2","3.16e-1","9.59","1.00e+0","3.00e-1","3.78e-3","FEN1,BRCA1,BRCA2"
"GOTERM_BP_DIRECT","heart development","4","53","276","18975","3.99e-2","3.27e-1","5.19","1.00e+0","3.10e-1","7.34e-3","PCNA,ERBB2,PTEN,TP53"
"GOTERM_BP_DIRECT","inner cell mass cell proliferation","2","53","15","18975","4.03e-2","3.27e-1","47.74","1.00e+0","3.10e-1","7.85e-4","CHEK1,BRCA2"
"GOTERM_BP_DIRECT","regulation of DNA damage checkpoint","2","53","15","18975","4.03e-2","3.27e-1","47.74","1.00e+0","3.10e-1","7.85e-4","BRCA1,BRCA2"
"GOTERM_BP_DIRECT","base-excision repair, gap-filling","2","53","15","18975","4.03e-2","3.27e-1","47.74","1.00e+0","3.10e-1","7.85e-4","FEN1,PCNA"
"GOTERM_BP_DIRECT","negative regulation of gene expression via chromosomal CpG island methylation","2","53","16","18975","4.30e-2","3.40e-1","44.75","1.00e+0","3.22e-1","8.96e-4","MYC,BRCA1"
"GOTERM_BP_DIRECT","regulation of G2/M transition of mitotic cell cycle","2","53","16","18975","4.30e-2","3.40e-1","44.75","1.00e+0","3.22e-1","8.96e-4","CDK4,AURKA"
"GOTERM_BP_DIRECT","replicative senescence","2","53","16","18975","4.30e-2","3.40e-1","44.75","1.00e+0","3.22e-1","8.96e-4","CHEK1,TP53"
"GOTERM_BP_DIRECT","negative regulation of cell growth","3","53","121","18975","4.35e-2","3.40e-1","8.88","1.00e+0","3.22e-1","4.70e-3","RB1,BRCA1,TP53"
"GOTERM_BP_DIRECT","cell morphogenesis","3","53","121","18975","4.35e-2","3.40e-1","8.88","1.00e+0","3.22e-1","4.70e-3","CDH1,GATA3,EGFR"
"GOTERM_BP_DIRECT","mammary gland alveolus development","2","53","17","18975","4.56e-2","3.54e-1","42.12","1.00e+0","3.35e-1","1.01e-3","CCND1,ESR1"
"GOTERM_BP_DIRECT","mitotic chromosome condensation","2","53","18","18975","4.82e-2","3.72e-1","39.78","1.00e+0","3.52e-1","1.14e-3","PLK1,NCAPG"
"GOTERM_BP_DIRECT","negative regulation of reactive oxygen species metabolic process","2","53","19","18975","5.08e-2","3.80e-1","37.69","1.00e+0","3.60e-1","1.27e-3","BRCA1,TP53"
"GOTERM_BP_DIRECT","glial cell proliferation","2","53","19","18975","5.08e-2","3.80e-1","37.69","1.00e+0","3.60e-1","1.27e-3","RB1,TP53"
"GOTERM_BP_DIRECT","response to dexamethasone","2","53","19","18975","5.08e-2","3.80e-1","37.69","1.00e+0","3.60e-1","1.27e-3","PCNA,PIK3CA"
"GOTERM_BP_DIRECT","striated muscle cell differentiation","2","53","19","18975","5.08e-2","3.80e-1","37.69","1.00e+0","3.60e-1","1.27e-3","RB1,AKT1"
"GOTERM_BP_DIRECT","cell migration","4","53","305","18975","5.10e-2","3.80e-1","4.70","1.00e+0","3.60e-1","1.03e-2","PIK3CA,CDH1,PTEN,AKT1"
