"Main Category","Category","Terms"
"Identifiers","UNIPROT_ID","B4DWZ4_HUMAN"
"Interactions","DRUGBANK","Iron"
"Interactions","DRUGBANK","Ferrous gluconate"
"Interactions","DRUGBANK","Ferrous succinate"
"Interactions","DRUGBANK","Ferrous ascorbate"
"Interactions","DRUGBANK","Ferrous fumarate"
"Interactions","DRUGBANK","Ferrous glycine sulfate"
"Interactions","PUBCHEM","5,8,9-trimethyl-11H-indolo[3,2-c]quinolin-5-ium"
"Interactions","PUBCHEM","2,5-Dichloro-3-[2-(dimethylamino)-1,3-thiazol-5-yl]-6-(1-pyrrolidinyl)benzo-1,4-quinone"
"Interactions","PUBCHEM","4-[(2-{[1-(3-Chlorophenyl)-2,5-dioxo-4-imidazolidinylidene]methyl}phenoxy)methyl]benzoic acid"
"Interactions","PUBCHEM","1-Dodecyl-4-methylquinolin-1-ium"
"Interactions","PUBCHEM","Rhein"
"Interactions","PUBCHEM","2-chloro-N-(2-phenyl-1,3-benzoxazol-5-yl)-5-(1,2,4-triazol-4-yl)benzamide"
"Interactions","PUBCHEM","Carminic Acid"
"Interactions","PUBCHEM","2-[3-((E)-3-Furan-2-yl-acryloylamino)-benzoylamino]-benzoic acid"
"Interactions","PUBCHEM","2,6,6-Trimethyl-4-pentadecyl-1,3,6,2lambda5-dioxazaphosphocan-6-ium 2-oxide bromide"
"Interactions","PUBCHEM","Biapigenin"
"Interactions","PUBCHEM","2,2-dihydroxy-1H-phenalene-1,3(2H)-dione"
"Interactions","PUBCHEM","4-(2-Chloro-phenyl)-2,4-dioxo-butyric acid"
"Interactions","PUBCHEM","(3R)-5,6,8-trihydroxy-3-methyl-isochroman-1-one"
"Interactions","PUBCHEM","7,11b-dihydrobenz(b)indeno(1,2-d)pyran-3,4,6a,9,10(6H)-pentol"
"Interactions","PUBCHEM","1-[2,3-Bis(furan-2-yl)quinoxalin-6-yl]-3-cyclopropylurea"
"Interactions","PUBCHEM","N-[2,3-bis(furan-2-yl)quinoxalin-6-yl]pyrrolidine-1-carboxamide"
"Interactions","PUBCHEM","3-(2,4,5-Trihydroxyphenyl)-DL-alanine"
"Interactions","PUBCHEM","12-Iminodaunorubicin hcl"
"Interactions","PUBCHEM","N-[2-(3H-benzimidazol-5-yl)-3H-benzimidazol-5-yl]thiophene-2-carboxamide"
"Interactions","PUBCHEM","N,10-dimethylphenazin-10-ium-2-amine perchlorate"
"Interactions","PUBCHEM","CID 10864994"
"Interactions","PUBCHEM","Benzenamine, 3-methyl-4-(1-pyrrolidinyl)-, hydrochloride (1:1)"
"Interactions","PUBCHEM","5,6-Dibutyl-3-hydroxy-1H-thieno[2,3-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","2-(4-Carboxyphenyl)-1,3-dioxobenzo[de]isoquinoline-6-carboxylic acid"
"Interactions","PUBCHEM","Sodium resazurin"
"Interactions","PUBCHEM","3-Hydroxy-2-[(2-hydroxy-4,4-dimethyl-6-oxocyclohexen-1-yl)-(4-hydroxy-3-nitrophenyl)methyl]-5,5-dimethylcyclohex-2-en-1-one"
"Interactions","PUBCHEM","3-Hydroxy-1-((7-methoxybenzo[d][1,3]dioxol-5-yl)methyl)-5-methylthieno[2,3-d]pyrimidine-2,4(1H,3H)-dione"
"Interactions","PUBCHEM","N-(2,5-Dimethylphenyl)-2-[N-(2-phenylethyl)benzenesulfonamido]acetamide"
"Interactions","PUBCHEM","2-(3-Methyl-4-pyrrolidino-benzylidene)malononitrile"
"Interactions","PUBCHEM","3-Hydroxy-7-phenyl-1H-thieno[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","3-Hydroxy-6-phenyl-1H-thieno[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","3-Hydroxy-1H-benzo[4,5]thieno[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","4-morpholin-4-ylsulfonyl-N-(1,3-thiazol-2-yl)benzamide"
"Interactions","PUBCHEM","1-(3-Bromo-benzyl)-3-hydroxy-1H-thieno[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","5-(4-Methoxy-benzylidene)-1-(4-methyl-benzoyl)-2-thioxo-imidazolidin-4-one"
"Interactions","PUBCHEM","3-Hydroxy-5-methyl-1-phenyl-1H-thieno[2,3-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","7-Biphenyl-4-yl-3-hydroxy-1H-furo[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","3-Hydroxy-1H-benzo[4,5]furo[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","7-Benzyl-3-hydroxy-1H-furo[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","Fen1-IN-5"
"Interactions","PUBCHEM","7-tert-Butyl-3-hydroxy-1H-thieno[3,2-d]pyrimidine-2,4-dione"
"Interactions","PUBCHEM","AS-252424"
